S.No	Message	Category	Sub Category	New Sub Category	Negative or Not	Remarks
1831	Could you call a doctor, please?	General	General	G_General_Neg	N_Emergency_Health	
1529	I'll call for you at 8 tomorrow morning.	To-Do	Event	TD_Event		
9891	No.My hair has grown like a jungle..few hours later need to go for hair cut .	To-Do	General	TD_General		
10452	Dear parents there is an annual function meeting tomo 10 am. Your active particiapation is very important	To-Do	General	TD_General		
1128	Just a minute, please. I'll call him to the phone.	To-Do	General	TD_General		
6513	complete e-course proposal	To-Do	General	TD_General		
1218	Don't call him an idiot. (Jesse)	General	General	G_General		
13375	She should join her in hospital immediately	Emergency	Health	E_Health		
5132	Please infrom Tom immediately not to send any mail regarding the NLP related	To-Do	Urgent_Normal	TD_Urgent_Normal		
121	Let's meet the day after tomorrow at café	To-Do	General	TD_General		
12474	Titan encircle wishes you Happy Birthday in advance. Avail exclusive offer of Flat 10% from World of Titan, Fastrack, Helios & Titan Eyeplus, Upto 10% off at Tanishq & Upto 15% off at Goldplus.Valid till 12-Mar-2017.Call 18001084826.T&C	General	General	G_General		
2044	When are you leaving your current company?	To-Do	General	TD_General		
3162	Dinner tonight?.	To-Do	General	TD_General		
3734	AirBus flight 720 is hijacked. Please rescue	Emergency	Police	E_Police		
2136	There was a fire last year	General	General	G_General_Neg	N_Emergency_Fire	
6085	accident happened near the 221 baker street, someone call an ambulance	Emergency	Health	E_Health		
6792	Apartment caught on fire : Huge smoke around marathahalli area	General	General	G_General		
4375	fraud by online retailer	Emergency	Police	E_Police		
6659	I called the fire deptment to my appartment last night because I couldn't get my detector to turn off. Please help me to resolve this issue	To-Do	General	TD_General		
10142	I am taking half day leave bec i am not well,inform my high authority	To-Do	General	TD_General		
7137	Complete the construction of your house by this year end.	To-Do	Event	TD_Event		
8862	Hart specialist doctor is not available in local hospital, please call specialist doctor immediately.	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
938	I'll meet Tom some other time in next week	To-Do	General	TD_General		
8759	I think that covers the important points about the meeting	General	General	G_General		
5331	I will call to sam as soon as result comes	To-Do	Urgent_Normal	TD_Urgent_Normal		
2687	I want to come out of the meeting.	General	General	G_General_Neg	N_Emergency_Personal	
6213	Did you call?	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
1096	If you give me Tom's phone number, I'll call him.	General	General	G_General		
2194	Whne the Tom's wife is going to get admit?	General	General	G_General_Neg	N_Emergency_Health	
9531	Lift stopped in apartment, please call back.	Emergency	Personal	E_Personal		
296	I might have called to you due to urgency	To-Do	Urgent_Normal	TD_Urgent_Normal		
7029	fire at my neighbours house, somebody please assist	Emergency	Fire	E_Fire		
7752	I'm not well. Help me!	Emergency	Personal	E_Personal		
3875	Friend met with the accident, please check the o-ve group blood availability.	Emergency	Health	E_Health		
9269	Neighbour high volume music. Kindly help	Emergency	Personal	E_Personal		
10572	We need to get some medical supplies urgently for those injury people	Emergency	Health	E_Health		
9528	Discharge summary is ready, please call back.	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
3314	Disabled person is looted by thieves.	Emergency	Police	E_Police		
3310	Apartment watchmen stolen car and fled.	Emergency	Police	E_Police		
7123	Get up it Yoga time.	To-Do	General	TD_General		
420	paitent meeting time is 5 am,u can meet ur friend at that time	To-Do	Event	TD_Event		
2352	Upon arrival, units reported fire from a ground floor apartment. An attack of fire was very high	Emergency	Fire	E_Fire		
525	I'll call you a taxi	To-Do	General	TD_General		
1642	This work calls for a high degree of skill.	General	General	G_General		
9636	I need to do cataract for parents, which hospital is good for this treatment?	General	General	G_General		
4801	You are cordially invited to be an active member of the Shareholder’s meeting conference that is scheduled for Sunday. Kindly mark your presence to raise your views and to help us make this meeting successful.	To-Do	Event	TD_Event		
6444	go for medical checkup	To-Do	General	TD_General		
7194	As I cant text, please call back.	To-Do	General	TD_Urgent_CallBack		
361	as soon as get the file I will call immediately	To-Do	Urgent_Normal	TD_Urgent_CallBack		
8321	Bike service is due, call back immediately	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
12843	Rs.200 goCashPlus in your account is expiring on 01 Apr 2017. Use goCash+ to book Flights & Hotels without any usage restrictions.	General	General	G_General		
9730	I need help to go to doctor	Emergency	Health	E_Health		
8565	Were gonna go get some tacos	General	General	G_General		
8753	I suggest we take item 2 last in the meeting	General	General	G_General		
9189	Urgent need for doctors in Plain. Send emergency notification.	Emergency	Health	E_Health		
3039	I missed my keys somewhere, check at your place	Emergency	Personal	E_Personal		
247	Because some urgent business came up, he wasn't able to go to the concert. Call him after concert	To-Do	General	TD_General		
3105	We all are going temple, call back once your free.	To-Do	General	TD_General		
5545	Faster conclusion of the current issue can be done with an immedaite meeting.Please plan for it before 11.am	To-Do	Event	TD_Event		
616	Please call me at my hotel later.	To-Do	General	TD_General		
5760	students meet tomorrow	To-Do	Urgent_Normal	TD_Urgent_Normal		
6262	I saw an explosion	To-Do	Urgent_Normal	TD_Urgent_Normal		
5298	they may call you if anything has to be done immediately	To-Do	Urgent_Normal	TD_Urgent_Normal		
3861	LPG cylinder booking got canceled, check with dealer	To-Do	Urgent_Normal	TD_Urgent_Normal		
3828	Extra amount deducted from account for EMI, check with bank	To-Do	Urgent_Normal	TD_Urgent_Normal		
2466	the fire started at the tyre compartment of the tanker that was carrying a cargo of aluminium powder. Upon receiving the distress call from the tanker driver, the fire station sent several squads to the scene to put out the fire. Firefighters said the blaze was snuffed out at 11.45am	Emergency	Fire	E_Fire		
297	He called me to come immediately	To-Do	Urgent_Normal	TD_Urgent_Normal		
6376	Payment of School's fees	To-Do	General	TD_General		
1985	how is your life?	General	General	G_General		
6741	Hey, would you happen to have some spare dry erase markers you could bring to our 4pm meeting today? The conference room was out when I was there earlier.	To-Do	Event	TD_Event		
1605	Tom calls me on Monday evening. @ 7 pm	To-Do	Event	TD_Event		
8029	Lets plan for a outing, call back once your free.	To-Do	General	TD_General		
2783	I will attend the meeting for sure.	To-Do	Event	TD_Event		
5387	There is an urgent need for medical supplies,callback after getting medicines	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
6277	I've got an emergency. Please call immediately.	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
3522	Illegal drugs are sold at my next door . Please check	Emergency	Police	E_Police		
719	I don't know what it's called.	General	General	G_General		
9821	Surgery is urgent, inform to wife	Emergency	Health	E_Health		
11506	You have 273 Landmark Rewards points as on 30 Sep and 83 expire on 25th Oct 2016. Redeem Now @ http://goo.gl/pEFMAi TnC To opt out call +918039275XXX	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
5939	Close your loan amount by this month	To-Do	Urgent_Normal	TD_Urgent_Normal		
10438	Lets have a discussion on DIVA pending issues at 3 pm.	To-Do	General	TD_Urgent_CallBack		
9213	Don't miss to call Mishra right now.	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
8318	Urgent issue. Can you do a night shift this evening? If you can, please call John (HR)	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
1972	Have finished you lunch?	General	General	G_General		
449	I will call you tomorrow morning 10AM	To-Do	Event	TD_Event		
10146	Congratulations ur awarded either 500 of CD gift vouchers & Free entry 2 our 100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16	General	General	G_General		
8026	Need water can urgently, please call back once your free.	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
8842	Have you told everyone when and where the meeting will be?	General	General	G_General		
3256	Came for dental checkup. Call you later	Emergency	Health	E_Health		
12589	I will call my mother	To-Do	General	TD_General		
12419	Yummilicious breakfast bites at your doorstep! Get 20% off today, use code SUNSHINE. Order morning deliciousness https://goo.gl/zOPpMo *T&C. Valid till 11 am.	General	General	G_General		
6427	lets meet and fix the vacation plan	To-Do	General	TD_General		
2935	Attention. This is your [Building Safety Officer, Joe Smith]. A fire has been reported on the [10th floor] of the building. Please evacuate the floor immediately	Emergency	Fire	E_Fire		
1387	I've had a lot of calls today.	General	General	G_General		
8667	flood situation,your uncle was in navy right .he must know swimming.please tell him to come	Emergency	Personal	E_Personal		
854	I will meet your dad tomorrow	To-Do	General	TD_General		
11049	Fell ill from long time.	Emergency	Health	E_Health		
7416	Mr. and Mrs. Doe are pleased to invite you and your partner to the annual company Christmas party on the evening of December 21 i	To-Do	Event	TD_Event		
7345	Your club annual meeting will be on tomorrow at 10AM	To-Do	Event	TD_event		
5185	burning, please someone help	Emergency	Fire	E_Fire		
888	I'll meet with Tom tonight	To-Do	General	TD_General		
12044	Delivered: Intex Aqua 5.5 VR (Bla... with tracking ID FMPP0074487403 from flipkart.com was delivered to your family member, pamela, today. Click to give feedback: http://ekrt.it/kEZHrTuuuN. EKART Wishes You and Your Family a Merry Christmas and a Happy New Year 2017.	General	General	G_General		
10085	Badminton practice	To-Do	General	TD_General		
5337	im near to shoping mall,please call me immediately after reaching to mall	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
8776	Do you want to start the meeting?	General	General	G_General		
11660	Dear Customer, now save more on your international trips. For information on Airtel's International Roaming packs, click www.airtel.in/IR	General	General	G_General		
13394	We should go to hospital immediately,our son met with an accident	Emergency	Health	E_Health		
2743	Would you be available at 9.00am?	To-Do	Event	TD_Event		
8933	Emergency, call me back lost your credit card	To-Do	General	TD_Urgent_CallBack		
4816	You are reading this message because I am away and not here right now. If you have other important business to do please go ahead and don’t wait for me.	To-Do	Event	TD_Event		
1205	That calls for a drink. (PeterR)	General	General	G_General		
2291	Found importanat document of someone at public place	General	General	G_General_Neg	N_Emergency_Police	
5579	Book tickets for return journey	To-Do	General	TD_General		
1369	That was a really good call.	General	General	G_General		
9285	Unattended bag lying the train. Kindly help	Emergency	Personal	E_Personal		
4888	Let's meet tomorrow for lunch.. My treat :)	To-Do	Event	TD_Event		
3841	ATM card not working, check with bank	To-Do	Urgent_Normal	TD_Urgent_Normal		
3632	A child is been drowned in the lake. Please help	Emergency	Police	E_Police		
11835	Dear Customer, now generate or change ATM/Debit Card PIN instantly through ICICI Bank Net Banking. Just login & click MY CARD PIN. Details at goo.gl/6ZJoF8 .	General	General	G_General		
4905	Salon appointment is confirmed for Sunday 4 p.m	To-Do	Event	TD_Event		
244	Sorry to bother you, but I'm afraid something urgent has come up to call him	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
12930	The shopping mall is on fire, call the fire engine now and help others in getting out	Emergency	Fire	E_Fire		
5669	Collect photo prints today	To-Do	General	TD_General		
4391	Government jobs are sold for money by politicians	Emergency	Police	E_Police		
1951	clam down	General	General	G_General		
7479	I can be attacked anytime	Emergency	Police	E_Police		
10668	she needs money immediately so she called me	To-Do	Urgent_Normal	TD_Urgent_Normal		
8305	Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or 1000. To claim txt DIS to 87121 18+6*1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ	To-Do	Urgent_Normal	TD_Urgent_Normal		
6181	Tom needs to make an urgent telephone call	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
6443	visit your relatives	To-Do	General	TD_General		
6976	Gas cylinder burst at home, call to fire accident rescue team.	Emergency	Fire	E_Fire		
3820	Tree fallen on road, inform traffic police	To-Do	Urgent_Normal	TD_Urgent_Normal		
11117	flood situation,boat ambulance is roaming in your near area.please contact	To-Do	General	TD_General		
8537	Are you free now?can i call now?	To-Do	General	TD_General		
12938	Fire on the fifth floor, start the evacuation now	Emergency	Fire	E_Fire		
3852	Bike/Car lost, give police complaint	To-Do	Urgent_Normal	TD_Urgent_Normal		
2023	Please save my new number: 7896541235	General	General	G_General		
8717	Well, I was given your number in the meeting	General	General	G_General		
2685	I am in a meeting.	To-Do	Event	TD_Event		
11473	Tempting Weekend deal! Use code RUSHAZ for flat 40% off on first 1000 orders.10% off thereon with code SUNDAY (starts 7pm).Order now https://goo.gl/zOPpMo.	General	General	G_General		
12592	Once I reach, I'll let you know	To-Do	General	TD_General		
8212	Quite late lar... Ard 12 anyway i wun b drivin…call me when you see this	To-Do	General	TD_General		
12974	My car is on fire, please help someone	Emergency	Fire	E_Fire		
12828	Rs 710.00 was spent on your Credit Card 4386XXXXXXXX3646 on 26-MAR-17 at BHARTI TELEMEDIA LTD.	General	General	G_General		
11430	We know your ATM is rattling! So, why not grab flat 15% off on your favourite dishes + 10% Paytm cashback. Use code BROKE & order here https://goo.gl/zOPpMo.	General	General	G_General		
3509	Its to dangerous to get down from this clif of mountain	Emergency	Police	E_Police		
1556	I heard someone call my name from behind.	General	General	G_General		
12248	Dear Customer, we have received the payment of Rs.950.00 for your Airtel number XXXXXXXXXX. Remaining payment due: Rs.-0.93. Please note, Cheque/ECS payments are subject to realization. You may view/pay your bills at www.airtel.in	General	General	G_General		
13259	house caught fire because of petrol leak from generator	Emergency	Fire	E_Fire		
6582	get power adapter	To-Do	General	TD_General		
3475	There is a reaction after taking this medicine, please call doctor urgently.	Emergency	Health	E_Health		
2095	Is there anyone who Is coming with you today?	General	General	G_General		
831	You can meet Tom in his house tomorrow	General	General	G_General		
1680	Would you please call me up at five o'clock?	General	General	G_General		
11304	Train is canceled .Tatkal ticket window is going to open after an hour Please help me .. try to book ticket for me	To-Do	Urgent_Normal	TD_Urgent_Normal		
7947	Fire in my neighbor house. Send fire engine asap.	Emergency	Fire	E_Fire		
2002	what are you doing	General	General	G_General		
1675	We have to call on him tomorrow	To-Do	General	TD_General		
11478	Ok good	General	General	G_General		
10162	U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901.offer ends today hurry!	General	General	G_General_Neg	N_Emergency_Personal	
1694	I'm sure Tom will return my calls eventually.	General	General	G_General		
6374	To track baby's vaccination date	To-Do	General	TD_General		
13374	He should join her in hospital immediately	Emergency	Health	E_Health		
321	they called to me in the midnight to know the exam result	General	General	G_General		
13013	Fire near the airport, call for emergency	Emergency	Fire	E_Fire		
1517	"I don't want to go." "It's your call."	General	General	G_General		
6677	Heavy traffic jam in MG road due to Fire. Please avoid that route	General	General	G_General		
4474	Prime minister and his cabinet are expected to meet at 11AM today	To-Do	Event	TD_Event		
2709	I’ll see you then on Monday, April 3, 2017.	To-Do	Event	TD_Event		
11521	Rs 0000.00 was spent on your Credit Card 4386XXXXXXXX3646 on 10-OCT-16 at WB HIDCO LTD.	General	General	G_General		
3718	hotel minor is working as cleaner.	Emergency	Police	E_Police		
3711	running unlicensed cow slaughters	Emergency	Police	E_Police		
9674	I can’t speak as I just removed my tooth.	General	General	G_General		
7117	We have not received payment for invoice 4839, dated 11/03/16. Please contact us on +xxxxxxxxx immediately	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
6716	Protesters set government building on fire. Please call Fire station immediately	Emergency	Fire	E_Fire		
10475	Your friends wants to meet you at 9am tomo.	To-Do	General	TD_General		
10116	neighbour meeting to discuss about main road at 6PM today	To-Do	General	TD_General		
7502	Please get help immediately	Emergency	Personal	E_Personal		
6584	host a thanksgiving desert night	To-Do	General	TD_General		
9177	Grandmother not well. Call	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
6108	Please advise to consult with doctors. I cannot eat and swallow and feels difficulty	Emergency	Health	E_Health		
9491	I am not getting any ambulance please help	Emergency	Health	E_Health		
9701	Fire in the Diamond district, send ambulance	Emergency	Health	E_Health		
9993	Shall i ask one thing if you dont mistake me.Can you lend me some money,I need it very badly	To-Do	General	TD_General		
8627	So how's scotland. Hope you are not over showing your JJC tendencies. Take care. Live the dream	General	General	G_General		
10157	Hmm .. Bits and pieces lol ... *sighs* ...	General	General	G_General		
10556	I want to show you my house,tomorrow come to my home	To-Do	General	TD_General		
1410	I made a bad call.	General	General	G_General		
12890	LAST FEW HRS!Get 1000 PAYBACK Pts worth approx Rs250 of FREE Shopping @Big Bazaar/fbb. Min spends Rs.1500 till 23Apr. To optout, sms OPTOUT to 9773597735 TnC	General	General	G_General		
115	We are going to meet him tonight in Agara	To-Do	Event	TD_Event		
13196	Save all the workers from fire , call for more help	Emergency	Fire	E_Fire		
9756	A hazardous materials spill has been reported at the office building, call an ambulance	Emergency	Health	E_Health		
2695	The meeting was so useful.	General	General	G_General		
1101	Robert broke off in the middle of his phone call.	General	General	G_General		
12381	Pamper yourself at affordable prices. Avail 20% Off Max Disc. 300 Code: MNY20 Valid Today Shop: http://bit.ly/2jIqxTs Call 08030695870 To Stop SMS.	General	General	G_General		
10147	I borrow ur bag for some urgency	To-Do	General	TD_General		
1200	I'm so glad you called.	General	General	G_General		
5103	Tom said me to infrom you that this is a matter of great urgency, and I hope you will attend to it without delay	To-Do	Urgent_Normal	TD_Urgent_Normal		
10546	He told me to come to his office immediately for his own work	To-Do	Urgent_Normal	TD_Urgent_Normal		
10158	Hahaha..use your brain dear	General	General	G_General		
3345	People are not wearing helmets.	Emergency	Police	E_Police		
2269	Boy standing next to you has a big knife and he his is not normal person , call ambulance	Emergency	Health	E_Health		
4248	Need to find the police station near by my home	Emergency	Police	E_Police		
13062	A tank car exploded, call the fire engine	Emergency	Fire	E_Fire		
865	She will meet him on the beach	General	General	G_General		
6921	Fire and smoke seen at rear side of Microwave oven, please call customer care urgently.	Emergency	Fire	E_Fire		
12759	Your a/c no.XXXXXX2809 is credited by Rs.500.00 on 14-03-17 by a/c linked to mobile XXXXXXX182 (IMPS Ref no 707314773977).	General	General	G_General		
12752	Hi Robert .. What is the status of 2nd lift .. No updates done on progress sheet still .. H block 2nd lift was operational only during Mr. Mark's visit and after that it stopped .. Let us know when it will b operational and update the progress sheets in each block	General	General	G_General		
8355	Problems in Documents submitted for Personal loan, call back immediately	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
2298	We found a kid crying inside train/public place without a guardian ,kid is nto able to tell address	Emergency	Police	E_Police		
9401	Severe stomach pain, please call an ambulance	Emergency	Health	E_Health		
12563	Last Few Hours to Grab Awesome Deals @ Great Prices only for you. Get 75 Off on ShopClues order of Rs.400. Cpn:SMCHHVRU8OXA T&C. Shop@ https://goo.gl/Yf1vQv	General	General	G_General		
4316	Suspection of a rape case.	Emergency	Police	E_Police		
811	he wanted to meet me at 7pm	General	General	G_General		
5764	take life time insurance by end of the day	To-Do	Urgent_Normal	TD_Urgent_Normal		
13216	Fire breakout at bus stand !!	Emergency	Fire	E_Fire		
9218	Suspesious transcation. Call customer care at the earliest.	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
8024	I am meeting, call me after sometime.	To-Do	General	TD_General		
4068	For passport verification	Emergency	Police	E_Police		
11207	planned a long drive, please be available at 5 PM	To-Do	Event	TD_Event		
11667	The NEFT Transaction from your a/c no XXXXXX2809 with reference number CITIN16703030455 for Rs 30000.00 has been credited on 28-10-2016 at 10:28:21.	General	General	G_General		
4911	Session on "how to avoid being a shopaholic" is scheduled on Friday 6pm .you are invited !!	To-Do	Event	TD_Event		
12641	You've earned Rs.50 goCash+ in your online@gmail.com account because your contact booked a trip on Goibibo. https://bnc.lt/W1ad/Z2sr1rIhNt	General	General	G_General		
8060	Got call from office, I need to go, call back once your free.	To-Do	General	TD_General		
3580	Suddenly the water flow is increased in the river	Emergency	Police	E_Police		
11125	flood situation,your uncle was in navy right .he must know swimming.please tell him to come	To-Do	General	TD_General		
874	I really want to meet Tom today	To-Do	General	TD_General		
4025	Mobile phone is lost.	Emergency	Police	E_Police		
7729	Mike and his friend fighting need help	Emergency	Personal	E_Personal		
10403	There is Tsunami in Bombay call immediately and inform all	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
1688	Give me Tom's phone number and I'll call him.	To-Do	General	TD_General		
12639	Dear Peter, Congratulations on becoming a Member of the Moustache Jeans Loyalty Program. You have earned 123.6 loyalty points.	General	General	G_General		
9973	Time n Smile r the two crucial things in our life. Sometimes time makes us to forget smile, and sometimes someone's smile makes us to forget time gud noon…will catch u up tomorrow in the library	To-Do	General	TD_General		
8034	Doctor apointment is scheduled, please call back.	To-Do	General	TD_General		
7084	fire due to fireworks, help getting water	Emergency	Fire	E_Fire		
13366	You should join him in hospital immediately	Emergency	Health	E_Health		
2489	Could anyone please call an ambulance	Emergency	Health	E_Health		
6247	Corrier. Please come immediately.	To-Do	Urgent_Normal	TD_Urgent_Normal		
1897	yes can u give me some more	General	General	G_General		
2035	I woke up just now, why did you call me?	General	General	G_General_Neg	N_Emergency_Personal	
7272	Yay!!!! You won a brand new Car worth 10 lakhs… please meet us at 4 pm today	To-Do	Event	TD_Event		
1058	It may not be necessary for us to go to that meeting	General	General	G_General		
5397	please call to my home its urgent	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
9251	Violent disturbance occurring on campus.	Emergency	Personal	E_Personal		
11616	Please come to Mr. X for Solution IDR	General	General	G_General		
10977	Feeling viral Fever.	Emergency	Health	E_Health		
10554	Once finish meeting call me.	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
12622	Meeting done? .. Any updates?	General	General	G_General		
1187	Call me at this number.	To-Do	General	TD_General		
5160	Could you please send me the payslip link	To-Do	Urgent_Normal	TD_Urgent_Normal		
13230	Airport security, call fire engines now!!!	Emergency	Fire	E_Fire		
13273	Danger!! Danger!! Huge short circuit in electric grid!! Rapid fire spreading..Run!!	Emergency	Fire	E_Fire		
8415	Payment due date approaching mobile number, call customer care immediately if already paid	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
10893	Call immediately to bus conductor, so that he can stop bus for some time at our boarding point	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
906	I've been dying to meet you tomorrow	To-Do	General	TD_General		
58	They had to promise to join the Roman Catholic Church. (Source_VOA)	General	General	G_General		
5606	Renew Bike insurance tomorrow	To-Do	General	TD_General		
1311	You can just call me Taro.	General	General	G_General		
715	Don't bother calling security.	General	General	G_General		
3640	Gold ornaments snatched in bus stop	Emergency	Police	E_Police		
424	u have a meeting with the H.R, go as soon as possible	To-Do	General	TD_General		
13408	I got big injuries in accident admit me in hospital	Emergency	Health	E_Health		
7439	Man with a knife is threatening us	Emergency	Police	E_Police		
1685	Bad weather forced us to call off the picnic.	General	General	G_General		
1645	Tom has called in sick the last three days.	Emergency	Health	E_Health		
6484	search for a hotel	To-Do	General	TD_General		
6813	Hotel caught on fire near Mahadevapura, avoid the road	General	General	G_General		
1808	If you have any problems, call.	General	General	G_General		
2097	Did you pay the current bill for this month?	To-Do	Urgent_Normal	TD_Urgent_Normal		
731	I'm calling from a cell phone.	General	General	G_General		
7179	Campus On Fire , please call back.	Emergency	Fire	E_Fire		
2739	I would like to meet with you tomorrow to go over the sales figures.	To-Do	Event	TD_Event		
12150	Driving	General	General	G_General		
12658	Feeling exhausted today and having some shoulder pain due to lifting luggage .. Will take rest today and join office from tomorrow	To-Do	General	TD_General		
12781	Rs 2,360.10 was spent on your Credit Card 4386XXXXXXXX3646 on 17-MAR-17 at SOWBHAGYA AND CO.	General	General	G_General		
7749	party at 10 PM	To-Do	Event	TD_Event		
1855	lunch plans??	General	General	G_General		
5142	could you please let me know the nearest car Garage at your area	To-Do	Urgent_Normal	TD_Urgent_Normal		
7845	call sister , urgenly need to go hometown	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
5322	she got a call from movie production house to attend shooting immeditely	To-Do	Urgent_Normal	TD_Urgent_Normal		
6464	wake up early	To-Do	General	TD_General		
11930	Tempting Tuesday Delights- Flat 10% off + 25% freecharge cash back on multi cuisines. Use code FDEC. Order & satiate those cravings now https://goo.gl/zOPpMo.	General	General	G_General		
11561	Celebrate DIWALI at LIFESTYLE,Bangalore! Get Rs.1200 worth Vouchers on shopping of Rs.5000! Vouchers valid on Rs.5000. T&C To opt out call +918039275834	General	General	G_General		
5267	friend's office on fire, need help	Emergency	Fire	E_Fire		
10734	I am taking our neighbor to hospital due to severe stomach pain	Emergency	Health	E_Health		
9039	Lost markscard in bus	General	General	G_General		
8040	I need to go office urgently, call me soon.	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
11279	today I am late as not feeling good	General	General	G_General_Neg	N_Emergency_Personal	
2832	I have got a meeting at office	To-Do	Event	TD_Event		
13236	CNG cylinder of auto burst on moving road !! Many vehicles caught fire !!	Emergency	Fire	E_Fire		
8160	New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693	General	General	G_General		
7707	I saw someone carry a gun need help	Emergency	Personal	E_Personal		
3796	Check book lost, requesting bank to not process any check with your account	To-Do	Urgent_Normal	TD_Urgent_Normal		
3018	I want that File immediately, it will be there in cupboard, please go get it now	Emergency	Personal	E_Personal		
12910	The office is on fire, call the emergency right now and start the evacuation	Emergency	Fire	E_Fire		
8363	Last day to pay water bill, call back immediately if already done	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
1245	Call the 110 immediately. (elgranjuego)	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
2519	Emergency please call an ambulance	Emergency	Health	E_Health		
1649	We're positive that they forgot to call us.	General	General	G_General		
10605	I will call you back ,im getting urgent call from team leader	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
8957	Need to plan tommorrow's meeting, please callback immediately	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
6258	An accident has just happened.	To-Do	Urgent_Normal	TD_Urgent_Normal		
13365	They saved raju and they are going to join him in hospital on time	Emergency	Health	E_Health		
13027	Fire in Mark's apartment, inform the fire department	Emergency	Fire	E_Fire		
11980	I will take off today to do lot of pending personal work to complete.	To-Do	General	TD_General		
5225	fire near the shop, call the fire engine	Emergency	Fire	E_Fire		
8682	we have to be out of the meeting by 12 sharply	To-Do	Event	TD_Event		
2627	Alert Supervisor, the fire is going wild and vacate the whole place immediately	Emergency	Fire	E_Fire		
10278	Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging	General	General	G_General		
11625	Bata Diwali Offer! Get Rs600/400/200 GV starting @ Rs1500 bill, vld til 2Nov at select stores. XTRA 5% cashback on SBI Cards. TnC.To opt out call 918067006246	General	General	G_General		
9545	Tusamani at the beach, please call back.	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
4630	1 Lakh is getting transferred from your account,kindly Call back immediately for any queries	To-Do	Urgent_Normal	TD_Urgent_Normal		
9467	I need support to get medical help	Emergency	Health	E_Health		
7043	the wardrobe is on fire, gp fetch water right now	Emergency	Fire	E_Fire		
7237	Recheck the completion of life goals	To-Do	General	TD_General		
4662	New summer camp is arranged near to RR stadium,Call back immedialty ,limited seats are available	To-Do	Urgent_Normal	TD_Urgent_Normal		
2403	Both women who live in the homes and their dogs were OK. There's no word yet on the cause of the fire or the extent of the damage.	Emergency	Fire	E_Fire		
9274	Lost in a carnival . Help me escape.	Emergency	Personal	E_Personal		
5373	We have to do operation immediately call to his father immediately	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
10826	Missed passport at airport	Emergency	Police	E_Police		
12571	Rs 1,000.00 was spent on your Credit Card 4386XXXXXXXX3646 on 20-FEB-17 at PAYTM.COM.	General	General	G_General		
9883	To avoid gaps in communication, please arrange a meeting with the Testing team before the test event.	To-Do	General	TD_General		
974	I have another meeting scheduled for tomorrow	To-Do	General	TD_General		
2300	Meet me at canteen, its urgent.	To-Do	Urgent_Normal	TD_Urgent_Normal		
13128	Fire in a restaurant .. Emergency !	Emergency	Fire	E_Fire		
8889	Elder person seeking help in your apartment, please help them out as soon as possible.	To-Do	Urgent_Normal	TD_Urgent_Normal		
3496	Recived and email black mailing messages for money	Emergency	Police	E_Police		
10027	U too…looking beautiful…get a little makeover done before leaving and buy a new sandal on this dress today itself as you have leave tomorrow morning	To-Do	General	TD_General		
8767	I declare the meeting is closed.	General	General	G_General		
5080	My internet service got disconnected. Could you please recharge it	To-Do	Urgent_Normal	TD_Urgent_Normal		
9483	I am not well, need a doctor	Emergency	Health	E_Health		
